participant_id,session,participant_list,dataset,music_subset,session_song,test_mode,block,trial,image_filename,subset,encoding_condition,ground_truth,music_context,recognition_response,certainty,image_valence,image_arousal,rt_recognition_ms,rt_certainty_ms,rt_valence_ms,rt_arousal_ms
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,1,042 - 186720 - Untitled.jpg,c,new,new,True,no,2,3,3,4760,4011,8087,3335
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,2,144 - 22369 - Painting 62.jpg,c,new,new,True,no,2,2,4,4376,3010,6628,4198
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,3,093 - 99611 - 26987.jpg,c,new,new,True,no,2,3,3,4819,6978,7589,1852
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,4,221 - 117561 - Green Park.jpg,c,new,new,True,yes,2,3,3,8241,16190,4061,2622
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,5,167 - 186050 - The Second Part of the Return from Parnassus.jpg,b,no_music,seen,True,yes,5,3,3,3140,3753,2238,781
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,6,172 - 117258 - Reconstruction #117.jpg,a,music,seen,True,yes,5,4,4,3331,2759,3228,1691
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,7,118 - 189206 - Untitled.jpg,b,no_music,seen,True,yes,4,3,2,3399,2470,4775,2350
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,8,122 - 257350 - Mountain.jpg,c,new,new,True,no,2,3,3,3386,1472,2780,1276
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,9,179 - 37749 - Departing.jpg,c,new,new,True,no,2,3,3,3698,3015,3587,1084
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,10,064 - 257310 - Peau de soleil.jpg,b,no_music,seen,True,yes,3,3,3,2994,2045,5656,1673
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,11,033 - 209555 - L'autophage (Fulgurites).jpg,b,no_music,seen,True,yes,5,3,2,3237,1013,10665,4506
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,12,113 - 23133 - Untitled.jpg,c,new,new,True,no,1,3,3,3095,8196,2139,676
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,13,187 - 53501 - Trinity.jpg,c,new,new,True,yes,2,3,3,11574,5160,9062,2821
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,14,120 - 158376 - La Campagna Series #10.jpg,b,no_music,seen,True,yes,5,3,3,3949,1287,1622,585
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,15,100 - 53632 - Unreal Construction.jpg,b,no_music,seen,True,yes,2,3,3,4470,1128,6947,1205
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,16,034 - 93349 - Untitled.jpg,c,new,new,True,no,5,2,3,12926,1769,7822,4046
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,17,095 - 93779 - Study for the Hall of Medical Sciences Mural at the 1939 World's Fair in New York.jpg,c,new,new,True,yes,4,3,3,3195,915,2711,525
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,18,019 - 20397 - First Theme.jpg,a,music,seen,True,yes,4,4,2,3000,5104,5616,3525
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,19,057 - 5421 - Untitled.jpg,c,new,new,True,no,2,2,3,5395,1210,4595,7755
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,20,134 - 75643 - Duke Leader (Ladder) Not Alone.jpg,a,music,seen,True,yes,4,2,3,2964,2477,3953,4264
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,21,088 - 80507 - Untitled (Composition with Grey Background).jpg,c,new,new,True,no,2,3,3,3561,1195,9073,602
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,22,214 - 53195 - Dragon Fly.jpg,c,new,new,True,yes,2,2,4,3376,840,3510,2833
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,23,156 - 51723 - Machine.jpg,c,new,new,True,no,4,3,2,3236,2507,1998,2001
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,24,227 - 254887 - Wake.jpg,b,no_music,seen,True,yes,3,2,4,4659,684,7911,2226
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,25,005 - 99542 - 1967 (Silver Brown).jpg,c,new,new,True,no,4,3,3,2734,708,1994,731
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,26,001 - 228850 - Orient Express I.jpg,a,music,seen,True,no,3,3,3,2968,788,3253,405
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,27,091 - 220551 - Untitled.jpg,b,no_music,seen,True,yes,4,2,4,3073,875,2568,4150
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,28,097 - 102245 - Con brio.jpg,b,no_music,seen,True,yes,3,2,4,3082,1177,2782,2028
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,29,132 - 256803 - Untitled.jpg,c,new,new,True,yes,3,2,4,3142,758,3592,2429
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,30,017 - 72177 - Heart of Darkness.jpg,a,music,seen,True,yes,5,3,2,2903,1574,3426,1029
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,31,037 - 107281 - A la pintura Red 1-3.jpg,c,new,new,True,no,4,3,3,3535,2569,3480,1441
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,32,141 - 63780 - Heraldry.jpg,c,new,new,True,no,3,2,4,4744,1474,3013,1219
8543,Baseline,1,Group_1,a,song_1.mp3,0,1,33,159 - 63990 - Stakim.jpg,a,music,seen,True,yes,4,3,3,2632,2199,1350,644
